"област","община","населено място","брой население по ПА","брой население по НА"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","9244","8685"
"БЛАГОЕВГРАД","БАНСКО","С.ГОСТУН","26","35"
"БЛАГОЕВГРАД","БАНСКО","ГР.ДОБРИНИЩЕ","2750","2527"
"БЛАГОЕВГРАД","БАНСКО","С.КРЕМЕН","129","131"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","204","203"
"БЛАГОЕВГРАД","БАНСКО","С.ОБИДИМ","72","83"
"БЛАГОЕВГРАД","БАНСКО","С.ОСЕНОВО","35","44"
"БЛАГОЕВГРАД","БАНСКО","С.ФИЛИПОВО","642","604"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","737","693"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","3255","3003"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЗЛАТАРИЦА","83","77"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГЪЛЪБОВО","33","33"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","788","730"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","2626","2439"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КУЗЬОВО","259","234"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЛЮТОВО","211","210"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ОРЦЕВО","152","150"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ПАЛАТИК","216","202"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","1241","1170"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЧЕРЕШОВО","256","229"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ИЗГРЕВ","771","641"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БЕЛО ПОЛЕ","12870","599"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БИСТРИЦА","611","54"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","81053","72121"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БУЧИНО","217","72"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БЪЛГАРЧЕВО","843","362"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ГАБРОВО","813","36"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ГОРНО ХЪРСОВО","559","94"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЕБОЧИЦА","55","24"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЕЛВИНО","613","117"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДРЕНКОВО","46","72"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЪБРАВА","630","148"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЕЛЕНОВО","561","217"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЗЕЛЕНДОЛ","216","194"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.КЛИСУРА","17","26"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛЕШКО","2218","170"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛИСИЯ","8","8"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.МАРУЛЕВО","89","61"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.МОЩАНЕЦ","22","75"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ОБЕЛ","35","49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ПАДЕШ","498","502"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ПОКРОВНИК","3325","863"
